created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.text,retweeted_status.truncated,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.possibly_sensitive,retweeted_status.lang,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
Sun Feb 14 16:13:58 +0000 2021,1360985645875830789,1360985645875830789,"こんばんは。
iPhone 12 シリーズ用 
カメラ保護フィルム販売中です。
カメラは iPhoneの眼です。
そんなカメラの凹凸やスマホケースで未保護部分を保護してより快適なiPhoneにしませんか。… https://t.co/mrhRlmvrES",True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,ja,[],[],[],"[{'url': 'https://t.co/mrhRlmvrES', 'expanded_url': 'https://twitter.com/i/web/status/1360985645875830789', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",ja,recent,1351902823181504512,1351902823181504512,KIKI FIVE,kikifive_keitai,東京 世田谷区,KIKI FIVE(キキファイブ)では携帯電話の修理やインターネットによる中古携帯（おもにiPhone）の販売、買取、備品（アクセサリ）の販売やPCの販売とそれに付随するサービスを行なっております。全力で皆様のご支援をさせてください。,https://t.co/joPamnV5hM,"[{'url': 'https://t.co/joPamnV5hM', 'expanded_url': 'http://keitaiomakase.com/', 'display_url': 'keitaiomakase.com', 'indices': [0, 23]}]",[],False,0,8,0,Wed Jan 20 14:42:21 +0000 2021,0,,,False,False,6,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1351903992712843264/qu624t1V_normal.jpg,https://pbs.twimg.com/profile_images/1351903992712843264/qu624t1V_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Feb 14 16:07:07 +0000 2021,1360983921916325889,1360983921916325889,"RT @freebitco: Get guaranteed wins with every spin, with the biggest prizes being a Rolex, an iPhone 12 Pro Max, and upto $15,000 in BTC.…",False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,58,0,False,False,,en,[],[],"[{'screen_name': 'freebitco', 'name': 'FreeBitco.in', 'id': 2380834758, 'id_str': '2380834758', 'indices': [3, 13]}]",[],en,recent,1352505337950121984,1352505337950121984,giorgi,giorgi98905761,,.,,,[],False,18,236,1,Fri Jan 22 06:36:25 +0000 2021,1,,,False,False,243,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1352505495903477761/8mTBseh8_normal.jpg,https://pbs.twimg.com/profile_images/1352505495903477761/8mTBseh8_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Sat Jan 30 15:08:54 +0000 2021,1.3555334512276111e+18,1355533451227611136,"Get guaranteed wins with every spin, with the biggest prizes being a Rolex, an iPhone 12 Pro Max, and upto $15,000… https://t.co/520p3QkAXR",True,[],[],[],"[{'url': 'https://t.co/520p3QkAXR', 'expanded_url': 'https://twitter.com/i/web/status/1355533451227611136', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,2380834758.0,2380834758,FreeBitco.in,freebitco,,"$200 in free bitcoins every hour! Multiply bitcoins 4,750x! Jackpots up to 1 bitcoin! Free weekly lottery with up to 5 bitcoin in prizes! 50% ref. commissions!",http://t.co/azj62xrRUL,"[{'url': 'http://t.co/azj62xrRUL', 'expanded_url': 'http://freebitco.in', 'display_url': 'freebitco.in', 'indices': [0, 22]}]",[],False,271511.0,30.0,336.0,Sun Mar 09 18:17:51 +0000 2014,2.0,,,False,False,1578.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/771941643004051458/ScAR5Tf2_normal.jpg,https://pbs.twimg.com/profile_images/771941643004051458/ScAR5Tf2_normal.jpg,https://pbs.twimg.com/profile_banners/2380834758/1590240384,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,58.0,274.0,False,False,False,en,,,,,,,,,,,
Sun Feb 14 16:04:06 +0000 2021,1360983162164281347,1360983162164281347,"RT @sweepstakdaily: iPhone 12 Giveaway 🎁
https://t.co/jFJKgMDAds
for chance to get #iPhone for free👏
discover the it for by participating i…",False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,187,0,False,False,False,en,"[{'text': 'iPhone', 'indices': [83, 90]}]",[],"[{'screen_name': 'sweepstakdaily', 'name': 'Sweepstakedaily', 'id': 834491201080274944, 'id_str': '834491201080274944', 'indices': [3, 18]}]","[{'url': 'https://t.co/jFJKgMDAds', 'expanded_url': 'https://bit.ly/35rdw8l', 'display_url': 'bit.ly/35rdw8l', 'indices': [41, 64]}]",en,recent,1300418486372569088,1300418486372569088,areeba jutt,chaudharyqueen7,,,,,[],False,4,100,0,Mon Aug 31 13:01:50 +0000 2020,52,,,False,False,52,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337297306346024960/8GhdvQOX_normal.jpg,https://pbs.twimg.com/profile_images/1337297306346024960/8GhdvQOX_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Sat Jan 09 17:01:45 +0000 2021,1.3479517061061673e+18,1347951706106167299,"iPhone 12 Giveaway 🎁
https://t.co/jFJKgMDAds
for chance to get #iPhone for free👏
discover the it for by participati… https://t.co/hBsDq9zafn",True,"[{'text': 'iPhone', 'indices': [63, 70]}]",[],[],"[{'url': 'https://t.co/jFJKgMDAds', 'expanded_url': 'https://bit.ly/35rdw8l', 'display_url': 'bit.ly/35rdw8l', 'indices': [21, 44]}, {'url': 'https://t.co/hBsDq9zafn', 'expanded_url': 'https://twitter.com/i/web/status/1347951706106167299', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",en,recent,"<a href=""https://www.semrush.com/"" rel=""nofollow"">SEMrush Social Media Tool</a>",,,,,,8.34491201080275e+17,834491201080274944,Sweepstakedaily,sweepstakdaily,United States,Giveaways,https://t.co/ubelWURy8R,"[{'url': 'https://t.co/ubelWURy8R', 'expanded_url': 'https://sweepstakdaily.page.link/1', 'display_url': 'sweepstakdaily.page.link/1', 'indices': [0, 23]}]",[],False,365.0,65.0,0.0,Wed Feb 22 19:53:01 +0000 2017,278.0,,,False,False,5.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1345442808425943042/_nQ_ooHD_normal.jpg,https://pbs.twimg.com/profile_images/1345442808425943042/_nQ_ooHD_normal.jpg,https://pbs.twimg.com/profile_banners/834491201080274944/1586199352,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,187.0,105.0,False,False,False,en,https://pbs.twimg.com/profile_banners/1300418486372569088/1599054743,,,,,,,,,,
Sun Feb 14 16:03:43 +0000 2021,1360983068044103682,1360983068044103682,"RT @sweepstakdaily: iPhone 12 Giveaway 🎁
https://t.co/jFJKgMDAds
for chance to get #iPhone for free👏
discover the it for by participating i…",False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,187,0,False,False,False,en,"[{'text': 'iPhone', 'indices': [83, 90]}]",[],"[{'screen_name': 'sweepstakdaily', 'name': 'Sweepstakedaily', 'id': 834491201080274944, 'id_str': '834491201080274944', 'indices': [3, 18]}]","[{'url': 'https://t.co/jFJKgMDAds', 'expanded_url': 'https://bit.ly/35rdw8l', 'display_url': 'bit.ly/35rdw8l', 'indices': [41, 64]}]",en,recent,1360891096885297156,1360891096885297156,Andrew,Andrew14844297,,,,,[],False,0,2,0,Sun Feb 14 09:58:26 +0000 2021,36,,,False,False,4,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1360891408094289925/TV9UKLph_normal.jpg,https://pbs.twimg.com/profile_images/1360891408094289925/TV9UKLph_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Sat Jan 09 17:01:45 +0000 2021,1.3479517061061673e+18,1347951706106167299,"iPhone 12 Giveaway 🎁
https://t.co/jFJKgMDAds
for chance to get #iPhone for free👏
discover the it for by participati… https://t.co/hBsDq9zafn",True,"[{'text': 'iPhone', 'indices': [63, 70]}]",[],[],"[{'url': 'https://t.co/jFJKgMDAds', 'expanded_url': 'https://bit.ly/35rdw8l', 'display_url': 'bit.ly/35rdw8l', 'indices': [21, 44]}, {'url': 'https://t.co/hBsDq9zafn', 'expanded_url': 'https://twitter.com/i/web/status/1347951706106167299', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",en,recent,"<a href=""https://www.semrush.com/"" rel=""nofollow"">SEMrush Social Media Tool</a>",,,,,,8.34491201080275e+17,834491201080274944,Sweepstakedaily,sweepstakdaily,United States,Giveaways,https://t.co/ubelWURy8R,"[{'url': 'https://t.co/ubelWURy8R', 'expanded_url': 'https://sweepstakdaily.page.link/1', 'display_url': 'sweepstakdaily.page.link/1', 'indices': [0, 23]}]",[],False,365.0,65.0,0.0,Wed Feb 22 19:53:01 +0000 2017,278.0,,,False,False,5.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1345442808425943042/_nQ_ooHD_normal.jpg,https://pbs.twimg.com/profile_images/1345442808425943042/_nQ_ooHD_normal.jpg,https://pbs.twimg.com/profile_banners/834491201080274944/1586199352,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,187.0,105.0,False,False,False,en,,,,,,,,,,,
Sun Feb 14 15:59:28 +0000 2021,1360981994784628744,1360981994784628744,"RT @VishalPokhrel2: Giveaway ⚠️ Giveaway ⚠️
Win a free iPhone 11 &amp; 12
To Participate this giveaway ;
• Like &amp; Retweet this post
• visit thi…",False,,,,,,,,,,,False,1,0,False,False,,en,[],[],"[{'screen_name': 'VishalPokhrel2', 'name': 'iPhone Giveaway', 'id': 1332701067511926785, 'id_str': '1332701067511926785', 'indices': [3, 18]}]",[],en,recent,1284901807227994117,1284901807227994117,Daryl Lindsey,DarylLindsey9,,,,,[],False,256,3759,0,Sun Jul 19 17:24:03 +0000 2020,3044,,,False,False,21382,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1284905044685385728/MTcJsewR_normal.jpg,https://pbs.twimg.com/profile_images/1284905044685385728/MTcJsewR_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Sun Feb 14 15:57:36 +0000 2021,1.3609815261213573e+18,1360981526121357319,"Giveaway ⚠️ Giveaway ⚠️
Win a free iPhone 11 &amp; 12
To Participate this giveaway ;
• Like &amp; Retweet this post
• visit… https://t.co/mewlCQkGDk",True,[],[],[],"[{'url': 'https://t.co/mewlCQkGDk', 'expanded_url': 'https://twitter.com/i/web/status/1360981526121357319', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [125, 148]}]",en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.3327010675119268e+18,1332701067511926785,Giveaway 2021,VishalPokhrel2,,who's the lucky today?,,,[],False,2.0,26.0,0.0,Sat Nov 28 15:01:23 +0000 2020,4.0,,,False,False,6.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1360979726437781507/1RKE9P_M_normal.jpg,https://pbs.twimg.com/profile_images/1360979726437781507/1RKE9P_M_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,1.0,1.0,False,False,False,en,,,,,,,,,,,
Sun Feb 14 15:58:37 +0000 2021,1360981781051305989,1360981781051305989,"RT @sweepstakdaily: iPhone 12 Giveaway 🎁
https://t.co/jFJKgMDAds
for chance to get #iPhone for free👏
discover the it for by participating i…",False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,187,0,False,False,False,en,"[{'text': 'iPhone', 'indices': [83, 90]}]",[],"[{'screen_name': 'sweepstakdaily', 'name': 'Sweepstakedaily', 'id': 834491201080274944, 'id_str': '834491201080274944', 'indices': [3, 18]}]","[{'url': 'https://t.co/jFJKgMDAds', 'expanded_url': 'https://bit.ly/35rdw8l', 'display_url': 'bit.ly/35rdw8l', 'indices': [41, 64]}]",en,recent,1357508853915672576,1357508853915672576,Sahil Bahar Khan,SahilBaharKhan1,,,,,[],False,1,187,0,Fri Feb 05 01:59:00 +0000 2021,125,,,False,False,121,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1357509156014592003/tJKvs2Tg_normal.jpg,https://pbs.twimg.com/profile_images/1357509156014592003/tJKvs2Tg_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Sat Jan 09 17:01:45 +0000 2021,1.3479517061061673e+18,1347951706106167299,"iPhone 12 Giveaway 🎁
https://t.co/jFJKgMDAds
for chance to get #iPhone for free👏
discover the it for by participati… https://t.co/hBsDq9zafn",True,"[{'text': 'iPhone', 'indices': [63, 70]}]",[],[],"[{'url': 'https://t.co/jFJKgMDAds', 'expanded_url': 'https://bit.ly/35rdw8l', 'display_url': 'bit.ly/35rdw8l', 'indices': [21, 44]}, {'url': 'https://t.co/hBsDq9zafn', 'expanded_url': 'https://twitter.com/i/web/status/1347951706106167299', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",en,recent,"<a href=""https://www.semrush.com/"" rel=""nofollow"">SEMrush Social Media Tool</a>",,,,,,8.34491201080275e+17,834491201080274944,Sweepstakedaily,sweepstakdaily,United States,Giveaways,https://t.co/ubelWURy8R,"[{'url': 'https://t.co/ubelWURy8R', 'expanded_url': 'https://sweepstakdaily.page.link/1', 'display_url': 'sweepstakdaily.page.link/1', 'indices': [0, 23]}]",[],False,365.0,65.0,0.0,Wed Feb 22 19:53:01 +0000 2017,278.0,,,False,False,5.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1345442808425943042/_nQ_ooHD_normal.jpg,https://pbs.twimg.com/profile_images/1345442808425943042/_nQ_ooHD_normal.jpg,https://pbs.twimg.com/profile_banners/834491201080274944/1586199352,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,187.0,105.0,False,False,False,en,,,,,,,,,,,
Sun Feb 14 15:57:36 +0000 2021,1360981526121357319,1360981526121357319,"Giveaway ⚠️ Giveaway ⚠️
Win a free iPhone 11 &amp; 12
To Participate this giveaway ;
• Like &amp; Retweet this post
• visit… https://t.co/mewlCQkGDk",True,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,1,False,False,False,en,[],[],[],"[{'url': 'https://t.co/mewlCQkGDk', 'expanded_url': 'https://twitter.com/i/web/status/1360981526121357319', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [125, 148]}]",en,recent,1332701067511926785,1332701067511926785,Giveaway 2021,VishalPokhrel2,,who's the lucky today?,,,[],False,2,26,0,Sat Nov 28 15:01:23 +0000 2020,4,,,False,False,6,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1360979726437781507/1RKE9P_M_normal.jpg,https://pbs.twimg.com/profile_images/1360979726437781507/1RKE9P_M_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Feb 14 15:52:13 +0000 2021,1360980171105296385,1360980171105296385,"RT @techworld005: Henry Ford cardiologists find #iPhone12 magnet deactivates implantable cardiac devices

Link :- 
https://t.co/xUjF7wce5R…",False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,3,0,False,False,False,en,"[{'text': 'iPhone12', 'indices': [48, 57]}]",[],"[{'screen_name': 'techworld005', 'name': 'ANUJ ATRI', 'id': 1221875839005949953, 'id_str': '1221875839005949953', 'indices': [3, 16]}]","[{'url': 'https://t.co/xUjF7wce5R', 'expanded_url': 'https://nbc25news.com/amp/news/local/henry-ford-cardiologists-find-iphone-12-magnet-deactivates-implantable-cardiac-devices?__twitter_impression=true', 'display_url': 'nbc25news.com/amp/news/local…', 'indices': [115, 138]}]",en,recent,1221875839005949953,1221875839005949953,ANUJ ATRI,techworld005,"Haryana, India🇮🇳","🖥️ | Tech | Updates | News | Leaks 
♻️ | Updates in Every 10mins.
📚 | #computerscienceengineering Student
📩 | DM for Queries/Collaboration",,,[],False,698,36,6,Mon Jan 27 19:22:56 +0000 2020,82116,,,True,False,5309,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1258035770931048451/bZ9hn6fk_normal.jpg,https://pbs.twimg.com/profile_images/1258035770931048451/bZ9hn6fk_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Sun Feb 07 06:14:21 +0000 2021,1.358298033960616e+18,1358298033960615942,"Henry Ford cardiologists find #iPhone12 magnet deactivates implantable cardiac devices

Link :-… https://t.co/ZDWeNFEuMs",True,"[{'text': 'iPhone12', 'indices': [30, 39]}]",[],[],"[{'url': 'https://t.co/ZDWeNFEuMs', 'expanded_url': 'https://twitter.com/i/web/status/1358298033960615942', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [97, 120]}]",en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.22187583900595e+18,1221875839005949953,ANUJ ATRI,techworld005,"Haryana, India🇮🇳","🖥️ | Tech | Updates | News | Leaks 
♻️ | Updates in Every 10mins.
📚 | #computerscienceengineering Student
📩 | DM for Queries/Collaboration",,,[],False,698.0,36.0,6.0,Mon Jan 27 19:22:56 +0000 2020,82116.0,,,True,False,5309.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1258035770931048451/bZ9hn6fk_normal.jpg,https://pbs.twimg.com/profile_images/1258035770931048451/bZ9hn6fk_normal.jpg,https://pbs.twimg.com/profile_banners/1221875839005949953/1588774061,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,3.0,14.0,False,False,False,en,https://pbs.twimg.com/profile_banners/1221875839005949953/1588774061,,,,,,,,,,
Sun Feb 14 15:48:48 +0000 2021,1360979313781329923,1360979313781329923,Какого цвета #iPhone 12 вы бы купили?,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,3,False,False,,ru,"[{'text': 'iPhone', 'indices': [13, 20]}]",[],[],[],ru,recent,1109408224418152448,1109408224418152448,German Greh,GrehGerman,"Orlando, USA","I’m lovin it: @apple, @mercedesbenz, coffee, jean’s & sweatshirt’s.",https://t.co/JI6mzgyZtg,"[{'url': 'https://t.co/JI6mzgyZtg', 'expanded_url': 'https://t.me/TwoPoHumor', 'display_url': 't.me/TwoPoHumor', 'indices': [0, 23]}]",[],False,60,28,0,Sat Mar 23 10:55:07 +0000 2019,2495,,,True,False,2692,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313196067442380800/5QIZrlkJ_normal.jpg,https://pbs.twimg.com/profile_images/1313196067442380800/5QIZrlkJ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1109408224418152448/1607347697,4303d1afc1e98c37,https://api.twitter.com/1.1/geo/id/4303d1afc1e98c37.json,city,Moscow,"Moscow, Russia",RU,Russia,[],Polygon,"[[[36.8878157, 55.4883244], [37.9674694, 55.4883244], [37.9674694, 56.0212511], [36.8878157, 56.0212511]]]"
Sun Feb 14 15:30:13 +0000 2021,1360974633760026630,1360974633760026630,"RT @ITB_CONNECT: Get a new device by trading in your old device. We have the best deals for iPhone 12, 12 Pro and iPhone 12 pro max. All wi…",False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,3,0,False,False,,en,[],[],"[{'screen_name': 'ITB_CONNECT', 'name': 'ITB connect', 'id': 1155110477443280896, 'id_str': '1155110477443280896', 'indices': [3, 15]}]",[],en,recent,1011749383,1011749383,Silambarasan S,SimbuMSDIAN,"Chennai, India ","தமிழனாக‌‌..மறம் வீழ்செயினும் அறம் வீழ் செயேன்... வல்லமை பேசேன் #ClimateActivist
#Fan of @msdhoni & his fan @josbuttler #HumanityFirst #WildlifeLover",https://t.co/saLaPo0dF3,"[{'url': 'https://t.co/saLaPo0dF3', 'expanded_url': 'http://paypal.me/SimbuMsdian', 'display_url': 'paypal.me/SimbuMsdian', 'indices': [0, 23]}]",[],False,81,468,0,Fri Dec 14 18:52:57 +0000 2012,10405,,,True,False,6052,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1342815358596513793/nJqdwfcX_normal.jpg,https://pbs.twimg.com/profile_images/1342815358596513793/nJqdwfcX_normal.jpg,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,Sun Feb 14 15:20:02 +0000 2021,1.3609720724077486e+18,1360972072407748610,"Get a new device by trading in your old device. We have the best deals for iPhone 12, 12 Pro and iPhone 12 pro max.… https://t.co/08kWMYJeOq",True,[],[],[],"[{'url': 'https://t.co/08kWMYJeOq', 'expanded_url': 'https://twitter.com/i/web/status/1360972072407748610', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",en,recent,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,,,1.155110477443281e+18,1155110477443280896,ITB connect,ITB_CONNECT,Nairobi Kenya,,https://t.co/YxyI1j3MiG,"[{'url': 'https://t.co/YxyI1j3MiG', 'expanded_url': 'http://itbconnect.co/sales/', 'display_url': 'itbconnect.co/sales/', 'indices': [0, 23]}]",[],False,81.0,110.0,0.0,Sat Jul 27 13:39:33 +0000 2019,3.0,,,False,False,74.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1155110821393063936/7-uMgYGn_normal.jpg,https://pbs.twimg.com/profile_images/1155110821393063936/7-uMgYGn_normal.jpg,https://pbs.twimg.com/profile_banners/1155110477443280896/1564235264,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,3.0,2.0,False,False,False,en,https://pbs.twimg.com/profile_banners/1011749383/1541225675,,,,,,,,,,
