Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2021-01-01,FlyDubai,Chennai,Dubai,Business,First Flyer,24.305738857922083
2021-01-02,FlyDubai,Chennai,Dubai,Business,First Flyer,24.690537276330286
2021-01-03,FlyDubai,Chennai,Dubai,Business,First Flyer,26.208705692162667
2021-01-04,FlyDubai,Chennai,Dubai,Business,First Flyer,25.24708025677974
2021-01-05,FlyDubai,Chennai,Dubai,Business,First Flyer,26.111661197919794
2021-01-06,FlyDubai,Chennai,Dubai,Business,First Flyer,25.784381694500482
2021-01-07,FlyDubai,Chennai,Dubai,Business,First Flyer,23.150319179874455
2021-01-08,FlyDubai,Chennai,Dubai,Business,First Flyer,24.355268295415307
2021-01-09,FlyDubai,Chennai,Dubai,Business,First Flyer,24.740066713823456
2021-01-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.25823512965804
2021-01-11,FlyDubai,Chennai,Dubai,Business,First Flyer,25.2966096942717
2021-01-12,FlyDubai,Chennai,Dubai,Business,First Flyer,26.161190635415714
2021-01-13,FlyDubai,Chennai,Dubai,Business,First Flyer,25.833911131987954
2021-01-14,FlyDubai,Chennai,Dubai,Business,First Flyer,23.199848617400086
2021-01-15,FlyDubai,Chennai,Dubai,Business,First Flyer,24.404797732979112
2021-01-16,FlyDubai,Chennai,Dubai,Business,First Flyer,24.789596151421442
2021-01-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.307764567287325
2021-01-18,FlyDubai,Chennai,Dubai,Business,First Flyer,25.34613913193708
2021-01-19,FlyDubai,Chennai,Dubai,Business,First Flyer,26.210720073113944
2021-01-20,FlyDubai,Chennai,Dubai,Business,First Flyer,25.883440569726723
2021-01-21,FlyDubai,Chennai,Dubai,Business,First Flyer,23.249378055137466
2021-01-22,FlyDubai,Chennai,Dubai,Business,First Flyer,24.454327170713857
2021-01-23,FlyDubai,Chennai,Dubai,Business,First Flyer,24.83912558916272
2021-01-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.35729400502839
2021-01-25,FlyDubai,Chennai,Dubai,Business,First Flyer,25.39566856893333
2021-01-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.26024950936898
2021-01-27,FlyDubai,Chennai,Dubai,Business,First Flyer,25.932970005236125
2021-01-28,FlyDubai,Chennai,Dubai,Business,First Flyer,23.298907489898994
2021-01-29,FlyDubai,Chennai,Dubai,Business,First Flyer,24.503856604733265
2021-01-30,FlyDubai,Chennai,Dubai,Business,First Flyer,24.888655022438094
2021-01-31,FlyDubai,Chennai,Dubai,Business,First Flyer,26.406823437558753
2021-02-01,FlyDubai,Chennai,Dubai,Business,First Flyer,25.44519800146581
2021-02-02,FlyDubai,Chennai,Dubai,Business,First Flyer,26.309778941897893
2021-02-03,FlyDubai,Chennai,Dubai,Business,First Flyer,25.982499437771395
2021-02-04,FlyDubai,Chennai,Dubai,Business,First Flyer,23.348436922431567
2021-02-05,FlyDubai,Chennai,Dubai,Business,First Flyer,24.553386037266833
2021-02-06,FlyDubai,Chennai,Dubai,Business,First Flyer,24.938184454528276
2021-02-07,FlyDubai,Chennai,Dubai,Business,First Flyer,26.456352869218435
2021-02-08,FlyDubai,Chennai,Dubai,Business,First Flyer,25.49472743269021
2021-02-09,FlyDubai,Chennai,Dubai,Business,First Flyer,26.359308372684296
2021-02-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.032028868118047
2021-02-11,FlyDubai,Chennai,Dubai,Business,First Flyer,23.397966352342127
2021-02-12,FlyDubai,Chennai,Dubai,Business,First Flyer,24.60291546674615
2021-02-13,FlyDubai,Chennai,Dubai,Business,First Flyer,24.987713884008578
2021-02-14,FlyDubai,Chennai,Dubai,Business,First Flyer,26.505882298696633
2021-02-15,FlyDubai,Chennai,Dubai,Business,First Flyer,25.544256862166257
2021-02-16,FlyDubai,Chennai,Dubai,Business,First Flyer,26.408837802162626
2021-02-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.08155829759265
2021-02-18,FlyDubai,Chennai,Dubai,Business,First Flyer,23.447495781824074
2021-02-19,FlyDubai,Chennai,Dubai,Business,First Flyer,24.65244489621881
2021-02-20,FlyDubai,Chennai,Dubai,Business,First Flyer,25.037243313477333
2021-02-21,FlyDubai,Chennai,Dubai,Business,First Flyer,26.555411728162383
2021-02-22,FlyDubai,Chennai,Dubai,Business,First Flyer,25.593786291631574
2021-02-23,FlyDubai,Chennai,Dubai,Business,First Flyer,26.458367231620986
2021-02-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.1310877270488
2021-02-25,FlyDubai,Chennai,Dubai,Business,First Flyer,23.497025211274586
2021-02-26,FlyDubai,Chennai,Dubai,Business,First Flyer,24.70197432567221
2021-02-27,FlyDubai,Chennai,Dubai,Business,First Flyer,25.08677274293068
2021-02-28,FlyDubai,Chennai,Dubai,Business,First Flyer,26.604941157610668
2021-03-01,FlyDubai,Chennai,Dubai,Business,First Flyer,25.64331572118967
2021-03-02,FlyDubai,Chennai,Dubai,Business,First Flyer,26.507896661292794
2021-03-03,FlyDubai,Chennai,Dubai,Business,First Flyer,26.180617156827097
2021-03-04,FlyDubai,Chennai,Dubai,Business,First Flyer,23.546554641168896
2021-03-05,FlyDubai,Chennai,Dubai,Business,First Flyer,24.75150375567116
2021-03-06,FlyDubai,Chennai,Dubai,Business,First Flyer,25.13630217303905
2021-03-07,FlyDubai,Chennai,Dubai,Business,First Flyer,26.654470587836368
2021-03-08,FlyDubai,Chennai,Dubai,Business,First Flyer,25.692845151414524
2021-03-09,FlyDubai,Chennai,Dubai,Business,First Flyer,26.557426091515673
2021-03-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.230146587050495
2021-03-11,FlyDubai,Chennai,Dubai,Business,First Flyer,23.59608407138798
2021-03-12,FlyDubai,Chennai,Dubai,Business,First Flyer,24.801033185895026
2021-03-13,FlyDubai,Chennai,Dubai,Business,First Flyer,25.185831602807507
2021-03-14,FlyDubai,Chennai,Dubai,Business,First Flyer,26.704000017147145
2021-03-15,FlyDubai,Chennai,Dubai,Business,First Flyer,25.742374580266993
2021-03-16,FlyDubai,Chennai,Dubai,Business,First Flyer,26.606955519908713
2021-03-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.279676014993377
2021-03-18,FlyDubai,Chennai,Dubai,Business,First Flyer,23.645613498868173
2021-03-19,FlyDubai,Chennai,Dubai,Business,First Flyer,24.85056261291771
2021-03-20,FlyDubai,Chennai,Dubai,Business,First Flyer,25.235361029829075
2021-03-21,FlyDubai,Chennai,Dubai,Business,First Flyer,26.75352944416767
2021-03-22,FlyDubai,Chennai,Dubai,Business,First Flyer,25.791904007288423
2021-03-23,FlyDubai,Chennai,Dubai,Business,First Flyer,26.65648494693409
2021-03-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.329189488430632
2021-03-25,FlyDubai,Chennai,Dubai,Business,First Flyer,23.695111018723054
2021-03-26,FlyDubai,Chennai,Dubai,Business,First Flyer,24.900044179188615
2021-03-27,FlyDubai,Chennai,Dubai,Business,First Flyer,25.284826642516002
2021-03-28,FlyDubai,Chennai,Dubai,Business,First Flyer,26.802979103269934
2021-03-29,FlyDubai,Chennai,Dubai,Business,First Flyer,25.841337712803245
2021-03-30,FlyDubai,Chennai,Dubai,Business,First Flyer,26.705902698862545
2021-03-31,FlyDubai,Chennai,Dubai,Business,First Flyer,26.378607240360086
2021-04-01,FlyDubai,Chennai,Dubai,Business,First Flyer,23.74452877065244
2021-04-02,FlyDubai,Chennai,Dubai,Business,First Flyer,24.9494619311183
2021-04-03,FlyDubai,Chennai,Dubai,Business,First Flyer,25.334244394451158
2021-04-04,FlyDubai,Chennai,Dubai,Business,First Flyer,26.852396855202983
2021-04-05,FlyDubai,Chennai,Dubai,Business,First Flyer,25.890755464583137
2021-04-06,FlyDubai,Chennai,Dubai,Business,First Flyer,26.755320450481406
2021-04-07,FlyDubai,Chennai,Dubai,Business,First Flyer,26.428024991815228
2021-04-08,FlyDubai,Chennai,Dubai,Business,First Flyer,23.793946521955
2021-04-09,FlyDubai,Chennai,Dubai,Business,First Flyer,24.998879682254852
2021-04-10,FlyDubai,Chennai,Dubai,Business,First Flyer,25.383662145429177
2021-04-11,FlyDubai,Chennai,Dubai,Business,First Flyer,26.901814606022324
2021-04-12,FlyDubai,Chennai,Dubai,Business,First Flyer,25.94017321539738
2021-04-13,FlyDubai,Chennai,Dubai,Business,First Flyer,26.80473820129635
2021-04-14,FlyDubai,Chennai,Dubai,Business,First Flyer,26.477442742632277
2021-04-15,FlyDubai,Chennai,Dubai,Business,First Flyer,23.843364272770668
2021-04-16,FlyDubai,Chennai,Dubai,Business,First Flyer,25.048297433074445
2021-04-17,FlyDubai,Chennai,Dubai,Business,First Flyer,25.433079894242333
2021-04-18,FlyDubai,Chennai,Dubai,Business,First Flyer,26.951232352828562
2021-04-19,FlyDubai,Chennai,Dubai,Business,First Flyer,25.989590960198775
2021-04-20,FlyDubai,Chennai,Dubai,Business,First Flyer,26.85415594409574
2021-04-21,FlyDubai,Chennai,Dubai,Business,First Flyer,26.526860483427914
2021-04-22,FlyDubai,Chennai,Dubai,Business,First Flyer,23.892782011560634
2021-04-23,FlyDubai,Chennai,Dubai,Business,First Flyer,25.097715169861985
2021-04-24,FlyDubai,Chennai,Dubai,Business,First Flyer,25.48249763102565
2021-04-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.000650089617935
2021-04-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.0390086969873
2021-04-27,FlyDubai,Chennai,Dubai,Business,First Flyer,26.903573680882282
2021-04-28,FlyDubai,Chennai,Dubai,Business,First Flyer,26.576278219143962
2021-04-29,FlyDubai,Chennai,Dubai,Business,First Flyer,23.942199746218176
2021-04-30,FlyDubai,Chennai,Dubai,Business,First Flyer,25.147132903449215
2021-05-01,FlyDubai,Chennai,Dubai,Business,First Flyer,25.531915363547103
2021-05-02,FlyDubai,Chennai,Dubai,Business,First Flyer,27.050067821070513
2021-05-03,FlyDubai,Chennai,Dubai,Business,First Flyer,26.08842642737522
2021-05-04,FlyDubai,Chennai,Dubai,Business,First Flyer,26.95299141020619
2021-05-05,FlyDubai,Chennai,Dubai,Business,First Flyer,26.6256959484747
2021-05-06,FlyDubai,Chennai,Dubai,Business,First Flyer,23.99161747553943
2021-05-07,FlyDubai,Chennai,Dubai,Business,First Flyer,25.196550632771466
2021-05-08,FlyDubai,Chennai,Dubai,Business,First Flyer,25.581333092868256
2021-05-09,FlyDubai,Chennai,Dubai,Business,First Flyer,27.09948555038956
2021-05-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.137844156849706
2021-05-11,FlyDubai,Chennai,Dubai,Business,First Flyer,27.002409139839177
2021-05-12,FlyDubai,Chennai,Dubai,Business,First Flyer,26.675113678253776
2021-05-13,FlyDubai,Chennai,Dubai,Business,First Flyer,24.04103520547592
2021-05-14,FlyDubai,Chennai,Dubai,Business,First Flyer,25.245968362864343
2021-05-15,FlyDubai,Chennai,Dubai,Business,First Flyer,25.630750823115598
2021-05-16,FlyDubai,Chennai,Dubai,Business,First Flyer,27.148903280790393
2021-05-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.187261887248393
2021-05-18,FlyDubai,Chennai,Dubai,Business,First Flyer,27.05182687023542
2021-05-19,FlyDubai,Chennai,Dubai,Business,First Flyer,26.72453140865527
2021-05-20,FlyDubai,Chennai,Dubai,Business,First Flyer,24.09045293587603
2021-05-21,FlyDubai,Chennai,Dubai,Business,First Flyer,25.29538609326181
2021-05-22,FlyDubai,Chennai,Dubai,Business,First Flyer,25.680168553187567
2021-05-23,FlyDubai,Chennai,Dubai,Business,First Flyer,27.198321010540514
2021-05-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.236679616675097
2021-05-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.101244599333775
2021-05-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.773949137429366
2021-05-27,FlyDubai,Chennai,Dubai,Business,First Flyer,24.139870664315126
2021-05-28,FlyDubai,Chennai,Dubai,Business,First Flyer,25.34480382137592
2021-05-29,FlyDubai,Chennai,Dubai,Business,First Flyer,25.7295862813016
2021-05-30,FlyDubai,Chennai,Dubai,Business,First Flyer,27.247738738653506
2021-05-31,FlyDubai,Chennai,Dubai,Business,First Flyer,26.28609734478594
2021-06-01,FlyDubai,Chennai,Dubai,Business,First Flyer,27.15066232744531
2021-06-02,FlyDubai,Chennai,Dubai,Business,First Flyer,26.823366865195467
2021-06-03,FlyDubai,Chennai,Dubai,Business,First Flyer,24.189288391735243
2021-06-04,FlyDubai,Chennai,Dubai,Business,First Flyer,25.394221548449483
2021-06-05,FlyDubai,Chennai,Dubai,Business,First Flyer,25.77900400802546
2021-06-06,FlyDubai,Chennai,Dubai,Business,First Flyer,27.29715646503014
2021-06-07,FlyDubai,Chennai,Dubai,Business,First Flyer,26.335515070815774
2021-06-08,FlyDubai,Chennai,Dubai,Business,First Flyer,27.200080053125628
2021-06-09,FlyDubai,Chennai,Dubai,Business,First Flyer,26.87278459087206
2021-06-10,FlyDubai,Chennai,Dubai,Business,First Flyer,24.23870611741176
2021-06-11,FlyDubai,Chennai,Dubai,Business,First Flyer,25.44363927413079
2021-06-12,FlyDubai,Chennai,Dubai,Business,First Flyer,25.82842173370882
2021-06-13,FlyDubai,Chennai,Dubai,Business,First Flyer,27.346574190710335
2021-06-14,FlyDubai,Chennai,Dubai,Business,First Flyer,26.384931468340227
2021-06-15,FlyDubai,Chennai,Dubai,Business,First Flyer,27.249495122490263
2021-06-16,FlyDubai,Chennai,Dubai,Business,First Flyer,26.922198332075116
2021-06-17,FlyDubai,Chennai,Dubai,Business,First Flyer,24.288118530468168
2021-06-18,FlyDubai,Chennai,Dubai,Business,First Flyer,25.49305035901838
2021-06-19,FlyDubai,Chennai,Dubai,Business,First Flyer,25.877831490442976
2021-06-20,FlyDubai,Chennai,Dubai,Business,First Flyer,27.395982619288553
2021-06-21,FlyDubai,Chennai,Dubai,Business,First Flyer,26.434339896917603
