Date_of_Journey,Airline,Source,Destination,Product,Customer,Revenue
2021-01-01,FlyDubai,Chennai,Dubai,Business,First Flyer,300054.3462010481
2021-01-02,FlyDubai,Chennai,Dubai,Business,First Flyer,304804.68267629744
2021-01-03,FlyDubai,Chennai,Dubai,Business,First Flyer,323546.47176974814
2021-01-04,FlyDubai,Chennai,Dubai,Business,First Flyer,311675.20576994587
2021-01-05,FlyDubai,Chennai,Dubai,Business,First Flyer,322348.45748831984
2021-01-06,FlyDubai,Chennai,Dubai,Business,First Flyer,318308.19201860845
2021-01-07,FlyDubai,Chennai,Dubai,Business,First Flyer,285790.6902755501
2021-01-08,FlyDubai,Chennai,Dubai,Business,First Flyer,300665.78710690193
2021-01-09,FlyDubai,Chennai,Dubai,Business,First Flyer,305416.12358215055
2021-01-10,FlyDubai,Chennai,Dubai,Business,First Flyer,324157.91267562856
2021-01-11,FlyDubai,Chennai,Dubai,Business,First Flyer,312286.64667578414
2021-01-12,FlyDubai,Chennai,Dubai,Business,First Flyer,322959.898394207
2021-01-13,FlyDubai,Chennai,Dubai,Business,First Flyer,318919.6329243913
2021-01-14,FlyDubai,Chennai,Dubai,Business,First Flyer,286402.13118180406
2021-01-15,FlyDubai,Chennai,Dubai,Business,First Flyer,301277.2280136271
2021-01-16,FlyDubai,Chennai,Dubai,Business,First Flyer,306027.5644892977
2021-01-17,FlyDubai,Chennai,Dubai,Business,First Flyer,324769.353583162
2021-01-18,FlyDubai,Chennai,Dubai,Business,First Flyer,312898.08758376323
2021-01-19,FlyDubai,Chennai,Dubai,Business,First Flyer,323571.33930259163
2021-01-20,FlyDubai,Chennai,Dubai,Business,First Flyer,319531.0738332764
2021-01-21,FlyDubai,Chennai,Dubai,Business,First Flyer,287013.572090672
2021-01-22,FlyDubai,Chennai,Dubai,Business,First Flyer,301888.66892246256
2021-01-23,FlyDubai,Chennai,Dubai,Business,First Flyer,306639.0053982138
2021-01-24,FlyDubai,Chennai,Dubai,Business,First Flyer,325380.7944920755
2021-01-25,FlyDubai,Chennai,Dubai,Business,First Flyer,313509.52848348196
2021-01-26,FlyDubai,Chennai,Dubai,Business,First Flyer,324182.78019316006
2021-01-27,FlyDubai,Chennai,Dubai,Business,First Flyer,320142.51471464
2021-01-28,FlyDubai,Chennai,Dubai,Business,First Flyer,287625.01296280307
2021-01-29,FlyDubai,Chennai,Dubai,Business,First Flyer,302500.10978543217
2021-01-30,FlyDubai,Chennai,Dubai,Business,First Flyer,307250.4462519983
2021-01-31,FlyDubai,Chennai,Dubai,Business,First Flyer,325992.23533666274
2021-02-01,FlyDubai,Chennai,Dubai,Business,First Flyer,314120.96932809544
2021-02-02,FlyDubai,Chennai,Dubai,Business,First Flyer,324794.2210377295
2021-02-03,FlyDubai,Chennai,Dubai,Business,First Flyer,320753.95555928786
2021-02-04,FlyDubai,Chennai,Dubai,Business,First Flyer,288236.45380741765
2021-02-05,FlyDubai,Chennai,Dubai,Business,First Flyer,303111.55063005904
2021-02-06,FlyDubai,Chennai,Dubai,Business,First Flyer,307861.88709115156
