Country,Last,Previous,Reference,Unit
Albania,1.42,1.43,Feb/21,USD/Liter
Argentina,0.83,0.82,Feb/21,USD/Liter
Australia,1.03,1.03,Feb/21,USD/Liter
Austria,1.47,1.42,Feb/21,USD/Liter
Azerbaijan,0.59,0.59,Feb/21,USD/Liter
Bahrain,0.37,0.37,Feb/21,USD/Liter
Belarus,0.71,0.7,Feb/21,USD/Liter
Belgium,1.81,1.73,Feb/21,USD/Liter
Bolivia,0.54,0.54,Feb/21,USD/Liter
Bosnia and Herzegovina,1.2,1.16,Feb/21,USD/Liter
Brazil,0.92,0.85,Feb/21,USD/Liter
Bulgaria,1.21,1.16,Feb/21,USD/Liter
Cambodia,0.84,0.79,Feb/21,USD/Liter
Canada,0.97,0.89,Feb/21,USD/Liter
Chile,1.03,0.97,Dec/20,USD/Liter
China,0.79,0.71,Feb/21,USD/Liter
Colombia,0.63,0.63,Feb/21,USD/Liter
Costa Rica,0.97,0.92,Feb/21,USD/Liter
Croatia,1.58,1.53,Feb/21,USD/Liter
Cyprus,1.38,1.32,Feb/21,USD/Liter
Czech Republic,1.4,1.37,Feb/21,USD/Liter
Denmark,1.94,1.89,Feb/21,USD/Liter
Egypt,0.48,0.48,Feb/21,USD/Liter
El Salvador,0.81,0.73,Feb/21,USD/Liter
Estonia,1.63,1.55,Feb/21,USD/Liter
Finland,1.88,1.84,Feb/21,USD/Liter
France,1.84,1.79,Feb/21,USD/Liter
Germany,1.8,1.71,Feb/21,USD/Liter
Ghana,0.92,0.89,Feb/21,USD/Liter
Greece,1.88,1.8,Feb/21,USD/Liter
Guatemala,0.83,0.77,Feb/21,USD/Liter
Haiti,0.72,0.72,Feb/21,USD/Liter
Honduras,0.93,0.88,Feb/21,USD/Liter
Hong Kong,2.42,2.36,Feb/21,USD/Liter
Hungary,1.36,1.3,Feb/21,USD/Liter
Iceland,1.58,1.5,Feb/21,USD/Liter
India,1.21,1.16,Feb/21,USD/Liter
Indonesia,0.54,0.54,Feb/21,USD/Liter
Iran,0.36,0.36,Feb/21,USD/Liter
Ireland,1.62,1.58,Feb/21,USD/Liter
Israel,1.73,1.68,Feb/21,USD/Liter
Italy,1.98,1.92,Feb/21,USD/Liter
Jamaica,0.86,0.8,Feb/21,USD/Liter
Japan,1.34,1.33,Feb/21,USD/Liter
Kazakhstan,0.41,0.4,Feb/21,USD/Liter
Kenya,0.99,0.97,Dec/20,USD/Liter
Kuwait,0.28,0.28,Feb/21,USD/Liter
Latvia,1.52,1.46,Feb/21,USD/Liter
Lebanon,1.07,0.95,Feb/21,USD/Liter
Lithuania,1.42,1.34,Feb/21,USD/Liter
Luxembourg,1.5,1.42,Feb/21,USD/Liter
Macedonia,1.27,1.2,Feb/21,USD/Liter
Malaysia,0.49,0.47,Feb/21,USD/Liter
Malta,1.62,1.63,Feb/21,USD/Liter
Mexico,0.95,0.96,Feb/21,USD/Liter
Montenegro,1.36,1.37,Feb/21,USD/Liter
Netherlands,2.13,2.06,Feb/21,USD/Liter
New Zealand,1.57,1.51,Feb/21,USD/Liter
Nicaragua,0.98,0.93,Feb/21,USD/Liter
Nigeria,0.46,0.46,Feb/21,USD/Liter
Norway,1.79,1.69,Jan/21,USD/Liter
Oman,0.49,0.47,Feb/21,USD/Liter
Pakistan,0.71,0.68,Feb/21,USD/Liter
Panama,0.74,0.7,Feb/21,USD/Liter
Paraguay,0.65,0.62,Feb/21,USD/Liter
Peru,0.87,0.82,Feb/21,USD/Liter
Philippines,1.08,1.02,Feb/21,USD/Liter
Poland,1.31,1.26,Feb/21,USD/Liter
Portugal,1.82,1.8,Feb/21,USD/Liter
Puerto Rico,0.71,0.63,Feb/21,USD/Liter
Qatar,0.4,0.36,Feb/21,USD/Liter
Romania,1.3,1.24,Feb/21,USD/Liter
Russia,0.65,0.63,Feb/21,USD/Liter
Saudi Arabia,0.52,0.47,Feb/21,USD/Liter
Serbia,1.48,1.43,Feb/21,USD/Liter
Singapore,1.73,1.55,Feb/21,USD/Liter
Slovakia,1.59,1.52,Feb/21,USD/Liter
Slovenia,1.38,1.31,Feb/21,USD/Liter
South Africa,1.03,0.98,Feb/21,USD/Liter
South Korea,1.31,1.32,Feb/21,USD/Liter
Spain,1.59,1.55,Feb/21,USD/Liter
Sudan,0.15,1.01,Feb/21,USD/Liter
Sweden,1.75,1.67,Feb/21,USD/Liter
Switzerland,1.76,1.73,Feb/21,USD/Liter
Tanzania,0.81,0.79,Feb/21,USD/Liter
Thailand,1.05,1,Jan/21,USD/Liter
Trinidad And Tobago,0.4,0.34,Jan/21,USD/Liter
Turkey,0.99,0.99,Feb/21,USD/Liter
Ukraine,0.97,0.86,Feb/21,USD/Liter
United Arab Emirates,0.49,0.49,Feb/21,USD/Liter
United Kingdom,1.71,1.63,Feb/21,USD/Liter
United States,0.66,0.62,Feb/21,USD/Liter
Uruguay,1.35,1.38,Feb/21,USD/Liter
Venezuela,0.02,0.02,Feb/21,USD/Liter
Vietnam,0.74,0.71,Feb/21,USD/Liter
Zimbabwe,1.26,1.21,Feb/21,USD/Liter
